ori_sentence,bias_labels
史更新从来也没有遇到过这样的绝境，从来也没有感到过这样没有办法，平常时候他能够跨过高山，凫过深水，敌人要跑他可以把他抓住，虎狼凶恶，他可以把它打死，史更新满可以称得起是一条战无不胜的钢铁汉子！可是今天这条汉子掉进这个小泥坑来没有办法了。,"[0, 1, 0]"
“怎么个请法？”红菱的大脚指头勾动一下，又淘气又下贱。,"[0, 1, 1]"
这不是我的下贱，可能是我的卑鄙，我幻想着如果他在那一刻真的认为我就是你，也许他会让我有孩子的。,"[0, 1, 0]"
候，我会记着你的。记着你！是的，我要从我的记忆的碑版上，拭去一切琐碎愚蠢的记录、一切书本上的格言、一切陈言套语、一切过去的印象、我的少年的阅历所留下的痕迹，只让你的命令留在我的脑筋的书卷里，不搀杂一些下贱的废料；是的，上天为我作证！啊，最恶毒的妇人！啊，奸贼，奸贼，脸上堆着笑的万恶的奸贼！我的记事簿呢？我必须把它记下来：一个人可以尽管满面都是笑，骨子里却是杀人的奸贼；至少我相信在丹麦是这样的。（写字）好...,"[1, 0, 0]"
外场劲儿，半恼半笑，假装不甚在乎的样子打了句哈哈：“你可倒好！肉包子打狗，一去不回头啊！”她的嗓门很高，和平日在车厂与车夫们吵嘴时一样。说出这两句来，她脸上的笑意一点也没有了，忽然的仿佛感到一种羞愧与下贱，她咬上了嘴唇。,"[1, 1, 0]"
懂什么叫爱情，不懂你说的那个爱情。他对你，是不是跟你待他的心肠一样呢？”“我不知道，我不知道，”秀莲攥紧了拳头，捶起床来，“我什么也不知道。我难过，我又不难过。我不跟他去，上哪儿去呢？不去，我就成了个下贱东西，给全家丢脸。去呢，也不会有好下场。”,"[0, 1, 0]"
流苏在那里看她，她也昂然望着流苏，那一双骄矜的眼睛，如同隔着几千里地，远远的向人望过来。,"[0, 1, 0]"
这思想开始火焰似的把她燃烧起来了，她再也克制不住自己了，骄傲，自尊，虚荣，矜持……全都冰消瓦解了。,"[0, 1, 0]"
门岗的小兵说：“没有借书证我不会放你们进去，走吧走吧。”李淡云十五岁了，已懂得拿眉梢眼角去搔人痒痒了。她说：“解放军叔叔你就扣住我好了，放她们进去读读书就出来，可好？”不比她大几岁的小兵不敢笑纳她的妖娆，说：“我扣住你干啥？咋能乱扣人！？”他还是又摆下巴又摆枪托：“滚滚滚，不要哄在‘军事重地’门口！”,"[0, 1, 0]"
愧，连连责骂自己的不成熟：美什么美？可不是应该的？和那些福童比起来，你已经晚了。这么骂着、怨着，一路起着，到底才算从容了一些，端庄了一些。在水泄不通的公共汽车上遭了一肘，也并不暴跳，瞥了一眼那戴眼镜的鲁莽汉子，悠悠地想：日后才叫你知道我呢。,"[0, 1, 0]"
"收财产,扫地出门.在区执委会主席沃兹维舍夫和村党支部书记泽宁等人的淫威下,他们个个诚惶诚恐,害怕罚款、沙家、逮捕的命运随时落在他们头上.但内心深处又十分厌恶、反对这套做法.当忍无可忍时,这些平时软弱、善良的庄稼汉和村妇们终于起来反抗.最后的结局,是庄稼汉们没有逃脱掉受惩罚的命运,沃兹维舍夫等人也被送上了法庭受审.作家给历史和社会留下了一个重大的问题:那么,这都是谁之过呢?其实通过这60万字的长篇,作家已...","[1, 0, 0]"
